first_name;last_name;nickname;team;id
Aarae;Alexander;;Team Lloyd Irvin;8141
Aaron;Johnson;Tex;Unity JJ;9246
Abdurakhman;Bilarov;;Team Nogueira;8494
Abmar;Barbosa;;;390
Abraham;Marte Messina;;Yamasaki / Basico;3083
Adam;Benayoun;;Fifty/50 Martial Arts Academy;8814
Adam;Ferrara;;GF Team;8131
Adam;Kayoom;;BKK BJJ;1133
Adam;Wardzinski;Megatron;Checkmat;7478
Ademir;Barreto;;GF Team;13245
Admilson;Brites;Juquinha;Gracie Humaita;6339
Admilson;Gobi Junior;;;8968
Aniel;Bonifacio;;Rodrigo Carvalho JJ;9541
Adele;Fornarino;;Team Dominance;13498
Adriana;Martins;;Akxe;699
Adriano;Martins;;;1116
Adriano;Silva;;Barbosa JJ;909
AJ;Agazarm;;Gracie Barra;4328
Alan;Belcher;;;2189
Alan;do Nascimento;Finfou;Checkmat;289
Alan;Moraes;;Carlson Gracie;2583
Alan;Sanchez;;10th Planet;12235
Alberto;Carmona;Beto;Akxe;696
Alberto;Crane;;Gracie Barra;2611
Alef;Brito;;Ares JJ;9876
Alex;Martins;;AMBJJ;7660
Alex;Munis;;;11746
Alex;Nguyen;;Standard JJ;13084
Alessandra;Vieira;Leka;;1131
Alexander;Trans;;Checkmat;1757
Alessandro;Capodeferro;;Barbosa JJ;1567
Alehander;Mariano;;Atos;13533
Alexandre;Barauna;;GF Team;9166
Alexandre;Cavaliere;;Alliance;9312
Alexandre;de Souza;Pop;Gracie Floripa;449
Alexandre;Ceconi;;;474
Alexandre;de Freitas;Soca;Soca BJJ;727
Alexandre;Jesus;Robinho;Calasans JJ;9793
Alexandre;Molinaro;;Carlson Gracie;9407
Alexandre;Paiva;Gigi;Alliance;666
Alexandre;Pimentel;Pulga;Nova Geracao;311
Alexandre;Puga;;Alliance;1671
Alexandre;Ribeiro;Xande;Ribeiro JJ;84
Alexandre;Santos;;Cia Paulista;1517
Alexandre;Vieira;;BTT;8525
Alexandria;Enriquez;;Atos;12569
Alexsandro;Machado;Baiano;Checkmat;891
Alexis;Alduncin;;Renzo Gracie Mexico;9377
Alexsandro;Sodre;;Clube Feijão JJ;8884
Ali;Monfaradi;;;10004
Allan;Goes;;;826
Alvaro;Barreto;;;2052
Alvaro;Bobadilla;Cabecao;GF Team;1553
Amal;Amjahid;;C.E.N.S. Academy;9058
Amanda;Alequin / Santana;Tubby;Marcio Cruz JJ;7012
Amanda;Leve;;;12064
Amanda;Magda;;Frates JJ;13078
Amanda;Monteiro;;GF Team;8301
Amaury;Bitetti;;;486
Amin;Touati;;Royce Gracie BJJ;1391
Amy;Campo;;Zenith JJ;12639
Ana Carolina;Lima Silva;;;13832
Ana Carolina;Schmitt;;;8888
Ana Carolina;Vieira;;GF Team;6979
Ana Laura;Cordeiro;;Gracie Barra;2357
Ana Maria;Soares;India;;276
Anabel;Lopez;;FZN / Checkmat;13920
Anderson;Munis;;;11685
Anderson;Pereira;Deton;Brazilian Top Team;249
Andrea;Baggio;;Manimal;1101
Andre;Almeida;;Gracie Barra;9615
Andre;Almeida;Dedeco;American Top Team;1716
Andre;Galvao;;Atos;144
Andre;Gois;;Alliance;11646
Andre;Maracaba;;Maracaba BJJ;7747
Andre;Monteiro;;Nova Geracao;1640
Andre;Pederneiras;Dedé;Nova Uniao;78
Andre;Porfirio;;Fight Sports;11384
Andre;Quiles;;;1414
Andre;Terencio;Negao;Brazil 021;314
Andressa;Cintra;;Checkmat;8519
Andrew;Wiltse;;Pedigo Submission Fighting;11808
Andrew;Tackett;;Brazilian Fight Factory;13172
Andy;Murasaki;;Atos;11878
Andy;Varela;;10th Planet;12703
Angelica;Galvao;;Atos;8293
Angelo;Claiborne;;Team Lloyd Irvin;10638
Anna;Rodrigues;;Dream Art;10764
Anthony;Pacenski;Tony;BJJ Revolution;540
Anthony;Perosh;The Hippo;Machado JJ;1104
Anthony;Scales;AJ;Nova Uniao;957
Antonio Carlos;Junior;Cara de Sapato, Shoe Face;Checkmat;1236
Antonio;de Melo;;Brazil 021;1536
Antonio;Peinado;Batista;Alliance;911
Antonio Roberto;Crivelari;Juninho;Checkmat;9130
Antonio Rodrigo;Nogueira;Minotauro;;1865
Antonio;Schembri;Nino;;12
Antonio;Braga Neto;;Gordo JJ;387
Arley;Pacheco;;Gracie Barra;13364
Arlisson;Melo;Kiki;Nova Uniao;584
Arthur;Detanico;;JA BJJ;9931
Ariel;Tabak;;;13175
Ary;Farias;Aryzinho;Atos;260
Arya;Esfandmaz;;Pure JJ;11703
Armando;Wridt;Dedinho;Gracie JJ;381
Ashley;Williams;;Chris Rees JJ;9401
Augusto;Ferrari;;;1167
Augusto;Mendes;Tanquinho;Soul Fighters;188
Augusto;Monteiro;;Associação Monteiro;2606
Aurelie;Le Vern;;Gracie Humaita;13332
Austin;Baker;;Gracie Barra;12203
Austin;Oranday;;Oranday Bros;13849
Baret;Yoshida;;Undisputed;1023
Beatriz;Mesquita;;Gracie Humaita;1119
Ben;Baxter;;Gracie Humaita;1998
Bernardo;Faria;;Alliance;425
Bernardo;Pitel;;Nova Uniao;1433
Bianca;Andrade;;Gracie Barra;1158
Bibiano;Fernandes;;Gracie Barra;471
Bill;Cooper;The Grill;;898
Brandon;Walensky;;Clark Gracie Academy;9385
Brenda;Heller;;GD Jiu Jitsu;9048
Brenda;Larissa;;Escola Melqui Galvão;10862
Bianca;Basilio;;Almeida JJ;7535
Jay Dee;Penn;BJ, The Prodigy;;253
Brandon;Mullins;Wolverine;Gracie Barra;2358
Braulio;Estima;Carcara;Gracie Barra;422
Brian;Beauchamp;;Equipe Fabricio;8298
Brian;Beaury;;Brian Beaury BJJ;9640
Brian;Giorgio;;Alliance;11354
Brianna;Ste-Marie;;BTT;12599
Brigida;Carvalho Felipe;;Vision;13577
Bruno;Alves;;Gracie Barra;1659
Bruno;Amorim;Robinho;Gracie Barra;222
Bruno;Barbosa;;;7568
Bruno;Bastos;;Nova Uniao;637
Bruno;de Paula;;Alliance;684
Bruno;Ferreira;;Nova Geracao;1707
Bruno;Frazatto;;Atos;174
Bruno;Lima;;AMA BJJ;10176
Bruno;Malfacine;Bad Boy;Alliance;283
Bruno;Matias;;Checkmat;868
Jose Bruno;Matias;;Gracie Barra;12069
Bruno;Mendes;Tanque or Tank;Soul Fighters;3117
Caio;Almeida;;Almeida JJ;7672
Caio;Caetano;;;9217
Caio;Paganini;;Alliance;10964
Caio;Terra;;CTBJJA;582
Caio;Vinicius Santos;;Gracie Barra;13051
Carina;Santi;;G13;8624
Carley;Gracie;;;2160
Carlos;Elias;Caique;;2460
Carlos;Gracie Senior;;Gracie JJ;36
Carlos;Gracie Junior;Carlinhos;;297
Carlos;Henrique;;Brazil 021;1400
Carlos;Henrique Campos;CH7;Dream Art;13192
Carlos;Lemos Jr;Escorrega;Gracie Barra;1594
Carlos;Machado;;Machado JJ;745
Carlos;Melo;;CTA;9611
Carlos;Vieira;Portugues;Cia Paulista;396
Carlos;Vieira Holanda;Esquisito;Checkmat;963
Catriel;Oliveira;;GF Team;12346
Carlson;Gracie;;Carlson Gracie;22
Caroline;Lazzer;;Emirates Team;1000
Cassio;Cardoso;;Carlson Gracie;829
Cassio Felipe;Costa;Laranjinha;Six Blades;13379
Cassio;Werneck;;;1223
Catherine;Perret;;Checkmat;8562
Cleber;Luciano;;;10596
Cleber;Sousa;Clandestino;Almeida JJ;7657
Celso;Vinicius;Celsinho;Ryan Gracie;428
Cesar;Gracie;;Gracie Elite;929
Cezar;Guimarães;Casquinha;Top Brother;2512
Chad;Hardy;;Team Shawn Hammonds;9845
Charles;Negromonte;;Gracie Barra;7652
Charles;Oliveira;do Bronx;Macaco Gold Team;877
Charlotte;Von Baumgarten;;Mathias Ribeiro JJ;9545
Chayse;Diekema;;Frontline / Carlson Gracie;13655
Chloe;McNally;;Unity JJ;12708
Christian;Graugart;;;2402
Christian;Moriarty;Chris;Alliance;7808
Chris;Tran;Shortround;Team Lloyd Irvin;13747
Christian;Uflaker;Charopinho;Uflacker Academy;7821
Cicero;Costha;;PSLPB Cicero Costha;1155
Claire;North;;;12663
Clark;Gracie;;Tipping Point BJJ;1523
Claudia;Doval;;De La Riva JJ;7928
Claudio;Calasans;Juninho;Atos;410
Claudio;Franca;;;2100
Claudio;Joanino;;Nova Uniao;7749
Claudio;Silva;Mineiro, Banheira;;489
Claudio;Mattos;Caloquinha;Gracie Barra;443
Cleiton;Soares Junior;;Alliance;8870
Cosmo;Dias;;Nova Uniao;7976
Cole;Abate;;Art Of Jiu-Jitsu;12950
Cole;Franson;;Tinguinha JJ;9150
Cory;Walker;;Team Lloyd Irvin;12940
Craig;Kukuk;;;1933
Craig;Jones;;B Team;8346
Crezio;Chaves;;;3185
Crezio;de Souza;;Carlson Gracie;2062
Cristiano;Carioca;;;1108
Cristiano;Lazzarini;Titi;Gracie Barra;2956
Cristiano;Marcello;;CM System;159
Crolin;Gracie;;Gracie Gym;3384
Cynthia;Omatsu;Cindy;;5781
Daisuke;Shiraki;Sugie, Amazon;Carpe Diem;9152
Damion;Oranday;;Oranday Bros;12356
Daniel;Amorim Junior;;Double Five;11949
Daniel;Azevedo;;Cia Paulista;708
Daniel;Beleza;;SAS;1019
Daniel;Diniz;;Checkmat;12419
Daniel;Garcia Dias;;Nova Uniao;1281
Daniel;Gracie;;Renzo Gracie;11919
Daniel;Maira;;;11919
Daniel;Moraes;;Relson Gracie;453
Daniel;Sathler;;Atos;12918
Daniel;Otero;;Equipe Fabricio;994
Daniel;Valverde;;;1145
Danielle;Alvarez;;LEAD BJJ;7997
Danilo;Borovic;;;9325
Danilo;Cherman;;Nova Uniao;8036
Danilo;Moreira;;PSQGL;10953
Dante;Leon;;GF Team;8116
Dave;Camarillo;;;816
Davi;Cabral;;GF Team;12275
Davi;Ramos;;Top Brother;1386
David;Avellan;Dave;Freestyle Fighting Academy;7463
David;Juliano Lemes;;;1923
David;Garmo;;Assembly Jiu-Jitsu;9668
David;Jacobs;;David Jacobs JJ;9037
David;Raab Skaf;;;9700
David;Onuma;Malandro;;1650
David;Meyer;;;11262
David;Terrell;Soul Assassin;;4965
David;Terao;;50/Fifty;13360
Darragh;OConnaill;;Ribeiro JJ;7321
Dean;Lister;The Boogeyman;;1369
Delson;Heleno;Pe de Chumbo;;1820
Demian;Maia;;Brasa;112
Denilson;Pimenta;;GF Team;244
Dennis;Asche;;Gordo JJ;1550
Denny;Prokopos;;10th Planet;1498
Denys;Darzi;;Brazil 021;778
Deoclecio;Paulo;;;2439
Devhonte;Johnson;Bones;Unity JJ;9157
Diego;Bispo;;Ares JJ;9864
Diego;Dias Ramalho;Sem Nocao;ZR Team;7831
Diego;Oliveira;Pato;;10840
Diego;Sodre;;Clube Feijao / Nova Uniao;11963
Diego;Vivaldo;Gaviao;Guigo;8334
Dillon;Danis;;Alliance;5258
Diogo;Sampaio Araujo;Moreno;Soul Fighters;1003
Diogo;Reis;;Escola Melqui Galvão;11823
DeAlonzio;Jackson;DJ, Kimura Kid;Lloyd Irvin;2226
Deandre;Corbe;;Coastal BJJ;9934
Dominique;Bell;;Atos;9321
